iter	Passed	Remaining
0	1	1140
1	1	756
2	1	600
3	2	544
4	2	496
5	2	491
6	3	457
7	3	447
8	3	431
9	4	413
10	4	399
11	4	387
12	5	379
13	5	370
14	5	368
15	6	370
16	6	363
17	6	357
18	6	359
19	7	354
20	7	350
21	7	350
22	8	349
23	8	348
24	8	350
25	9	348
26	9	346
27	9	343
28	10	340
29	10	338
30	10	336
31	11	334
32	11	333
33	11	330
34	11	328
35	12	326
36	12	324
37	12	322
38	13	320
39	13	318
40	13	317
41	13	316
42	14	314
43	14	312
44	14	311
45	14	309
46	15	308
47	15	307
48	15	307
49	16	306
50	16	305
51	16	304
52	16	303
53	17	302
54	17	301
55	17	301
56	18	299
57	18	298
58	18	297
59	18	296
60	19	295
61	19	295
62	19	294
63	20	292
64	20	292
65	20	291
66	20	289
67	21	289
68	21	288
69	21	289
70	22	288
71	22	289
72	22	289
73	23	288
74	23	289
75	23	289
76	24	288
77	24	287
78	24	286
79	24	286
80	25	285
81	25	284
82	25	282
83	25	281
84	26	280
85	26	279
86	26	279
87	26	278
88	27	278
89	27	277
90	27	276
91	27	276
92	28	275
93	28	274
94	28	274
95	29	274
96	29	274
97	29	273
98	30	273
99	30	273
100	30	273
101	31	273
102	31	272
103	31	271
104	31	272
105	32	272
106	32	271
107	32	270
108	33	270
109	33	269
110	33	269
111	33	268
112	34	267
113	34	266
114	34	266
115	34	265
116	35	264
117	35	264
118	35	263
119	35	263
120	36	262
121	36	261
122	36	260
123	36	260
124	37	259
125	37	259
126	37	259
127	38	258
128	38	259
129	38	259
130	39	258
131	39	258
132	39	258
133	39	257
134	40	257
135	40	256
136	40	256
137	40	255
138	41	255
139	41	254
140	41	254
141	41	253
142	42	253
143	42	252
144	42	252
145	43	252
146	43	251
147	43	251
148	43	250
149	44	250
150	44	250
151	44	250
152	45	249
153	45	249
154	45	248
155	45	248
156	46	248
157	46	247
158	46	247
159	47	247
160	47	246
161	47	245
162	47	245
163	48	244
164	48	244
165	48	244
166	48	243
167	49	243
168	49	242
169	49	242
170	49	241
171	50	241
172	50	241
173	50	240
174	51	240
175	51	240
176	51	239
177	51	239
178	52	239
179	52	238
180	52	238
181	53	238
182	53	238
183	53	238
184	54	238
185	54	238
186	54	237
187	54	237
188	55	237
189	55	236
190	55	236
191	56	236
192	56	235
193	56	235
194	57	235
195	57	234
196	57	234
197	57	234
198	58	234
199	58	233
200	58	233
201	58	232
202	59	232
203	59	232
204	59	232
205	60	232
206	60	231
207	60	231
208	61	231
209	61	230
210	61	230
211	61	230
212	62	229
213	62	229
214	62	229
215	62	228
216	63	228
217	63	227
218	63	227
219	64	226
220	64	226
221	64	226
222	64	225
223	65	225
224	65	224
225	65	224
226	65	224
227	66	223
228	66	223
229	66	223
230	66	222
231	67	222
232	67	222
233	67	221
234	68	221
235	68	221
236	68	221
237	68	220
238	69	220
239	69	220
240	69	220
241	70	220
242	70	219
243	70	219
244	71	218
245	71	218
246	71	218
247	71	217
248	72	217
249	72	217
250	72	216
251	73	216
252	73	216
253	73	215
254	73	215
255	74	215
256	74	214
257	74	214
258	74	214
259	75	214
260	75	213
261	75	213
262	76	213
263	76	212
264	76	212
265	76	211
266	77	211
267	77	211
268	77	210
269	77	210
270	78	210
271	78	209
272	78	209
273	78	209
274	79	208
275	79	208
276	79	208
277	80	207
278	80	207
279	80	207
280	80	207
281	81	206
282	81	206
283	81	206
284	82	206
285	82	205
286	82	205
287	83	205
288	83	204
289	83	204
290	84	204
291	84	204
292	84	204
293	84	203
294	85	203
295	85	203
296	85	203
297	86	202
298	86	202
299	86	202
300	86	201
301	87	201
302	87	201
303	87	201
304	88	200
305	88	200
306	88	200
307	88	199
308	89	199
309	89	199
310	89	198
311	90	198
312	90	198
313	90	197
314	90	197
315	91	197
316	91	197
317	91	196
318	92	196
319	92	196
320	92	195
321	92	195
322	93	195
323	93	194
324	93	194
325	94	194
326	94	193
327	94	193
328	94	193
329	95	193
330	95	192
331	95	192
332	95	191
333	96	191
334	96	191
335	97	191
336	97	191
337	97	191
338	97	190
339	98	190
340	98	190
341	98	189
342	99	189
343	99	189
344	99	188
345	99	188
346	100	188
347	100	188
348	100	187
349	100	187
350	101	186
351	101	186
352	101	186
353	101	185
354	102	185
355	102	185
356	102	185
357	103	184
358	103	184
359	103	184
360	103	183
361	104	183
362	104	183
363	104	183
364	105	182
365	105	182
366	105	182
367	106	182
368	106	181
369	106	181
370	106	181
371	107	180
372	107	180
373	107	180
374	108	180
375	109	180
376	109	180
377	109	180
378	109	180
379	110	179
380	110	179
381	110	179
382	110	178
383	111	178
384	111	178
385	111	177
386	112	177
387	112	177
388	112	176
389	112	176
390	113	176
391	113	175
392	113	175
393	113	175
394	114	174
395	114	174
396	114	174
397	115	174
398	115	173
399	115	173
400	115	173
401	116	172
402	116	172
403	116	172
404	117	171
405	117	171
406	117	171
407	117	170
408	118	170
409	118	170
410	118	170
411	118	169
412	119	169
413	119	169
414	119	168
415	120	168
416	120	168
417	120	167
418	120	167
419	121	167
420	121	166
421	121	166
422	121	166
423	122	165
424	122	165
425	122	165
426	122	164
427	123	164
428	123	164
429	123	164
430	123	163
431	124	163
432	124	162
433	124	162
434	125	162
435	125	162
436	125	161
437	125	161
438	126	161
439	126	160
440	126	160
441	126	160
442	127	159
443	127	159
444	127	159
445	128	159
446	128	158
447	128	158
448	128	158
449	129	157
450	129	157
451	129	157
452	130	157
453	130	156
454	130	156
455	131	156
456	131	156
457	131	155
458	131	155
459	132	155
460	132	154
461	132	154
462	133	154
463	133	153
464	133	153
465	133	153
466	134	153
467	134	152
468	134	152
469	135	152
470	135	151
471	135	151
472	135	151
473	136	151
474	136	150
475	136	150
476	136	150
477	137	149
478	137	149
479	137	149
480	138	148
481	138	148
482	138	148
483	138	148
484	139	147
485	139	147
486	139	147
487	139	146
488	140	146
489	140	146
490	140	145
491	140	145
492	141	145
493	141	144
494	141	144
495	142	144
496	142	144
497	142	143
498	142	143
499	143	143
500	143	142
501	143	142
502	144	142
503	144	142
504	144	141
505	144	141
506	145	141
507	145	140
508	145	140
509	146	140
510	146	139
511	146	139
512	146	139
513	147	139
514	147	138
515	147	138
516	147	138
517	148	137
518	148	137
519	148	137
520	149	137
521	149	136
522	149	136
523	150	136
524	150	136
525	150	135
526	150	135
527	151	135
528	151	134
529	151	134
530	152	134
531	152	133
532	152	133
533	152	133
534	153	133
535	153	132
536	153	132
537	153	132
538	154	131
539	154	131
540	154	131
541	155	131
542	155	130
543	155	130
544	155	130
545	156	129
546	156	129
547	156	129
548	156	128
549	157	128
550	157	128
551	157	128
552	158	127
553	158	127
554	158	127
555	159	127
556	159	126
557	159	126
558	159	126
559	160	125
560	160	125
561	160	125
